Community areas_Name,GEOID,Life Expectancy,Population,Longitude,Latitude,Employer Health Ins. (%),Dental Cleanings (%),Personal Doctor (%),Routine Checkup (%),HIV Care Link (%),HIV Viral Load Suppressed (%),Medicaid Coverage (%),Specialist Physicians (Num),Uninsured Residents (%),VA Health Coverage (%),Adequate Prenatal Care (%),1st Trimester Prenatal Care (%),Healthcare Satisfaction (%),Easy Access to Care (%),Binge Drinking (%),Easy Fruit/Veg Access (%),Fruit/Veg Daily (%),No Physical Activity (%),Daily Sugary Drinks (%),Teen Birth Rate,E-Cigarette Use (%),Current Smokers (%),Maternal Smoking (%),Social Vulnerability Index (SVI),Household Composition,Proximity to Hazards (%),Eviction Rate (%),Seniors Living Alone (%),Unemployment Rate (%),Economic Diversity Index,Hardship Index,Median Income,Poverty Rate (%),Child Opportunity Index (Overall),COI - Socioeconomic Domain,COI - Education Domain,COI - Health & Environment Domain
West Lawn,65,80.39168001,33543,-87.726927,41.769774,44.63412554,62.66114206,84.94102582,84.02799276,,64.1791,28.03415876,6.976096,15.08660049,0.535350193,67.166667,65.423548,57.56541199,71.20021768,26.07990034,49.66416187,27.07927144,42.17140552,21.46453363,12.594102,,,0.7549069,79.96892947,9591.905793,94.9439134,0.671414627,29.58547487,7.876475425,0.793943422,80.76676145,72859.84369,15.31816329,22.93979368,22.97668648,29.96852379,19.23833192
Chicago Lawn,66,75.68339525,55789,-87.695667,41.771849,33.16534297,51.36001541,79.08650972,78.32639197,83.333,53.95683,35.89395295,26.962046,18.12787742,1.597468787,63.343558,65.67472,59.36864917,74.93471449,33.65610439,45.23326422,34.15705608,54.89500684,32.52399154,25.882055,3.96704049,17.14336142,1.9417476,87.61751861,17513.56249,70.55580362,1.379691452,39.43787519,14.35003837,0.793063385,90.37911749,49281.71903,22.409071,9.075168983,9.453657918,14.87920365,8.458391248
West Englewood,67,68.63104345,29899,-87.666598,41.775926,27.13007981,54.09758241,71.6761086,79.36674811,75,44.71154,46.17905903,3.040256,17.40025849,1.273871791,56.81445,58.640674,52.2356403,73.46781364,27.69952461,38.26626813,26.5866532,45.52808235,24.32357322,33.079341,6.898709355,12.96421801,3.2738095,87.37095721,9879.249201,72.08,1.737480456,33.84696075,20.31432384,0.720110722,91.82677638,37786.82032,33.024435,3.726237015,4.659837741,5.423707673,6.810346687
Englewood,68,67.65982022,24322,-87.642502,41.777201,25.72586371,54.81082053,72.52340747,79.02209104,83.333,52.59259,50.31360847,18.991153,12.4100462,2.355488359,53.451811,57.048312,51.4404606,88.64989376,19.77400233,39.15839618,25.21336041,42.55108065,34.34803094,34.749541,,18.66577083,4.9129353,87.01583527,9176.91689,72.08,2.306841299,40.60859967,20.25547911,0.713042383,91.36747767,30723.34734,32.2739602,1.833291787,3.12425407,4.38159729,4.345243132
Greater Grand Crossing,69,71.6763893,31543,-87.616139,41.763251,34.5610933,49.17288981,82.3823977,83.38853358,83.333,54.23197,48.97461406,2.004302,8.544637572,1.576367123,58.225716,56.742179,67.03652154,72.26286806,19.22272417,55.60895432,28.26474989,40.60658536,28.58771612,33.627575,5.920434327,14.76879357,3.5838726,86.70713446,12648.73735,72.08,2.267360592,42.98617341,15.42690611,0.756142689,86.02478957,43894.29487,27.43684829,6.233953741,6.291618801,8.893313452,12.60461813
Ashburn,70,77.58704942,41280,-87.708363,41.745756,52.71604135,61.27427833,80.91848171,67.26069282,,61.53846,25.55074269,1.01157,11.37807762,0.921213266,68.568569,66.022233,52.77265503,78.5712975,26.5732898,58.2664483,25.08691856,31.19840558,31.34687875,11.230001,,7.394194015,0.6532898,73.26044189,13528.06559,71.58046545,1.268743963,26.99303089,9.334303521,0.793511339,75.62694568,82939.16766,16.15742152,30.12475856,30.7958533,30.62424498,30.37070092
Auburn Gresham,71,71.2228777,44959,-87.656305,41.744203,37.35307202,55.76444978,87.13291575,92.36447222,77.778,50.4298,42.34520742,3,8.151597224,1.820481333,58.752784,58.064516,55.73583785,77.84232,27.77376451,57.21575382,33.59288417,27.17899957,30.98522774,27.243077,6.514265476,21.03621007,3.3088235,85.22613476,17943.96017,72.08,2.488712851,34.01076735,17.79970672,0.790400848,88.05592716,47086.70993,25.27832748,8.453490726,9.425538838,6.551843626,15.80239372
Beverly,72,80.56583869,19950,-87.675072,41.713148,75.98641278,75.02361412,94.15297157,87.14843254,,59.375,9.973771261,23.986628,2.580434773,1.117921029,84.021164,80.674847,52.12714198,89.32993592,29.36843278,54.96994552,25.24307389,20.97765563,29.52254708,2.4841635,,4.813900874,0.5870841,16.85157672,7424.452612,72.07789366,0.495182796,24.11388622,8.470131398,0.551556297,25.73727556,127240.8588,5.833902974,68.61282183,75.29629617,54.98875435,61.69406193
Washington Heights,73,72.15021166,25075,-87.648897,41.717495,53.38190256,60.24167329,80.5313816,80.8836111,,56.74157,28.97410599,1.985705,6.91709553,2.00375056,63.975694,61.705686,63.55360015,67.90941075,37.45317171,46.13192936,28.72470739,49.55522895,29.78640147,17.467876,7.537404644,18.49024951,2.0259319,63.8507645,9538.919495,72.08,1.374346537,22.16873565,10.85445385,0.791541329,66.87261324,69873.80799,15.6071265,22.87013542,24.39718054,21.73820407,26.83765703
Mount Greenwood,74,79.75868256,18633,-87.713189,41.694876,80.42200099,71.63497658,91.34459817,89.05522301,0,,8.529801759,3.002746,3.119913936,1.613750251,88.70674,87.57764,51.0128279,81.33866213,35.70880181,79.95058863,21.98789844,33.28787666,13.83861504,1.592864,,8.166245293,0.7826087,27.77188535,7172.13686,46.96682792,1.084674571,40.90945485,4.555976031,0.549766359,24.85001322,113203.6315,5.745868839,67.95448869,68.07717861,76.08143781,45.75857498
Morgan Park,75,75.52447179,21714,-87.669062,41.689729,57.79929271,54.45334102,83.72187721,72.61067971,,56.41026,24.57426776,8.096969,5.472393345,0.979116713,70.653266,70.639535,50.54241849,61.98037443,25.63092947,57.79206064,20.09268147,39.13125114,,14.487266,,12.67724217,1.6697588,53.85734459,8653.650302,71.26325507,1.181363537,36.31973286,7.591596237,0.754913098,54.8308357,76704.65545,12.72159971,38.46450902,43.26974551,27.41875762,46.72316098
O'Hare,76,83.83781222,14416,-87.893699,41.975696,50.29888845,77.28343566,83.58805592,78.1761293,,47.61905,20.13024489,5.127318,16.04024981,0.977543881,74.623656,70.716511,58.01037262,70.73453274,27.71975561,54.81555225,16.67855789,18.81995256,35.29118906,6.2791749,,8.755313017,1.1144883,53.82553887,7024.896323,95.7689354,0.455479923,33.87434106,3.989899282,0.748953142,37.40971957,75466.65376,8.136384983,44.28036899,43.45304448,61.76544806,20.29376922
Edgewater,77,80.68201483,56308,-87.663419,41.986719,60.33345253,62.14038057,85.02106393,73.42920743,90,74.00163,13.971549,15.807775,9.67586758,0.820353321,77.480916,75.469968,47.73756766,77.66480764,28.67747908,62.54753283,37.31689466,20.62239414,16.10083103,4.9660182,8.783207885,10.16898221,0.7695596,57.51904467,29464.86152,72.08,0.453682716,48.35246846,7.232423642,0.659637328,37.83538252,74954.65009,14.07123165,53.41999261,56.78626653,58.16871776,33.36788859
