Community areas_Name,GEOID,Life Expectancy,Population,Longitude,Latitude,Employer Health Ins. (%),Dental Cleanings (%),Personal Doctor (%),Routine Checkup (%),HIV Care Link (%),HIV Viral Load Suppressed (%),Medicaid Coverage (%),Specialist Physicians (Num),Uninsured Residents (%),VA Health Coverage (%),Adequate Prenatal Care (%),1st Trimester Prenatal Care (%),Healthcare Satisfaction (%),Easy Access to Care (%),Binge Drinking (%),Easy Fruit/Veg Access (%),Fruit/Veg Daily (%),No Physical Activity (%),Daily Sugary Drinks (%),Teen Birth Rate,E-Cigarette Use (%),Current Smokers (%),Maternal Smoking (%),Social Vulnerability Index (SVI),Household Composition,Proximity to Hazards (%),Eviction Rate (%),Seniors Living Alone (%),Unemployment Rate (%),Economic Diversity Index,Hardship Index,Median Income,Poverty Rate (%),Child Opportunity Index (Overall),COI - Socioeconomic Domain,COI - Education Domain,COI - Health & Environment Domain
Avondale,21,81.0927751,36245,-87.711219,41.938673,57.02153466,65.21534164,76.79007623,75.673677,100,59.45946,18.12056463,3.007191,14.31075132,0.747305998,77.153558,75.524834,45.79014973,66.05582743,37.82524845,55.93645859,29.36198563,25.72198663,20.38521591,14.413242,7.280672788,7.089375619,0.831793,54.09158045,14437.90071,72.0786584,0.404173541,30.21636447,5.337307324,0.729934171,39.76013108,92638.50316,13.59369212,31.6493041,44.75150091,18.87666399,17.31215993
Logan Square,22,81.40234493,71742,-87.699149,41.922768,67.28933991,68.78302934,76.03745461,65.9295662,100,57.76173,14.08598349,23.075016,7.600941817,0.42542906,80.138128,82.263206,48.54248676,76.63290518,42.40994443,48.08406565,36.39667342,13.99795241,19.39888716,11.483372,11.16595661,9.896564652,0.5272764,41.28508292,31902.63427,71.52757243,0.227144977,35.33601383,4.159865859,0.603280853,19.9373305,108483.4527,10.72366615,48.17894422,60.33691201,33.19647802,30.85142978
Humboldt Park,23,75.41444439,53832,-87.720917,41.90008,36.29516196,58.9109376,80.76222452,82.67235509,87.5,51.25348,38.89346081,5.015455,17.8703408,0.670080794,64.655468,66.512702,57.04391732,63.92324744,31.86001757,45.41872987,32.21999285,42.36220451,23.34680212,25.082826,7.250268892,13.69093181,3.485023,87.82236988,18651.62194,66.40036136,0.940870611,30.80721815,10.3194547,0.755577833,81.43566128,54944.46907,26.63791325,12.99097646,14.0459208,12.23504119,19.0673957
West Town,24,81.43207779,87942,-87.676358,41.901216,74.34182418,74.6834422,75.45086555,71.55732346,75,58.00604,9.738748266,116.128928,4.577163849,0.57267406,82.592913,84.414295,43.37584851,77.34723566,51.34509959,59.89661092,30.45485034,15.19908204,13.87431031,8.5767988,9.874330836,6.792545328,0.7143899,25.47509259,41054.28493,71.32480941,0.271156481,29.25229375,3.528844434,0.483833762,8.387265323,138827.8899,8.925988411,71.18037706,77.68569542,63.40797939,48.91763894
Austin,25,71.70767742,96753,-87.763117,41.894113,35.58703779,49.51862591,79.8866732,77.91739496,75.862,53.86861,40.70486454,12.004474,11.79910804,1.561604266,62.520292,64.621359,58.70803541,71.85135097,26.39744372,42.56409415,29.35391284,50.71982735,35.02715168,29.046643,7.870772523,18.293971,3.9337843,88.26991137,35654.89403,70.11426789,1.911662374,27.58590344,14.623578,0.769903062,84.29874767,51909.39669,24.74649116,11.93692174,12.25410295,13.66854345,18.7112869
West Garfield Park,26,66.57828879,17423,-87.730233,41.878602,30.65740831,65.92547781,74.33780867,77.87719693,,49.72067,47.88876311,3.982095,9.410939112,2.266272196,55.050505,58.276864,64.35763558,71.9692784,28.88205011,51.2926978,30.86637387,48.70956568,49.17996168,30.360314,,24.69152043,6.6666667,87.81041442,5906.376572,72.06802089,2.085531154,33.74082877,23.25294437,0.718433122,92.99208936,36481.37198,31.97517769,4.001533304,3.567564688,10.627528,7.377650221
East Garfield Park,27,69.75663662,19995,-87.705892,41.878923,32.7319405,61.48937211,78.9210522,67.5099954,87.5,52.87958,46.17904667,11.06148,10.79228131,1.157962978,58.04133,60.068552,47.69271393,70.86278356,33.79727321,40.65291951,32.31039469,36.81063934,27.65945844,30.672589,,24.483695,5.0643087,88.77913494,7384.31389,72.03828226,1.373507456,37.72026354,16.80183284,0.736797825,89.51531992,38451.79766,37.83572579,4.812653718,4.451917156,8.53955383,16.85602933
Near West Side,28,78.32786612,67817,-87.663513,41.874016,70.95978007,67.8875458,78.70489049,76.18556014,69.231,55.21978,14.29577831,1256.520797,4.610459532,0.423414894,77.44511,80.408389,51.94599542,76.55424363,43.51651848,58.28395433,29.25716896,17.52277292,14.06648352,7.3012968,10.64973652,11.16955618,2.0377358,41.37768034,32341.95888,72.08,0.440881507,50.56159883,7.103445039,0.456178126,30.84746817,115208.8898,15.64142506,64.80329862,65.15120778,62.77171032,55.76705846
North Lawndale,29,67.87316785,34817,-87.717218,41.860197,31.99907224,54.00384165,89.78812636,88.80946105,88.462,59.72696,45.37061532,77.743153,13.68796621,1.359056861,54.805825,61.502566,62.70236685,85.715106,35.21741432,35.3447654,33.63471073,45.47814536,19.29645879,36.080325,14.16370836,19.26311438,5.9913793,89.5493917,11798.76434,71.14424256,2.189791362,50.3836758,13.57362756,0.748243021,87.84799461,41907.44068,33.23424113,2.726780206,4.203187732,5.056268283,5.988167545
South Lawndale,30,80.28364816,71402,-87.714,41.839091,34.89379024,59.73720771,71.83260422,70.62900139,,33.33333,33.18661753,44.919866,17.25647449,0.658373501,65.306122,68.389603,48.58372889,65.58342373,24.74900182,39.38198992,27.97444944,43.31564596,28.33061188,22.52816,4.228534971,6.919136346,1.1423795,84.22536022,20231.87239,67.27837431,0.525674576,24.68795703,8.458289482,0.750195712,89.20580734,53030.9685,21.5023178,8.472375012,8.767147364,15.40161824,7.689121496
Lower West Side,31,81.95800271,33716,-87.66757,41.850277,56.74804327,63.39595493,74.49675223,75.14367846,62.5,58.08824,21.07125052,37.415435,11.00228122,0.838650326,70.522388,72.66858,49.69889593,68.1533781,42.69809287,39.88932439,26.1130291,25.4084818,27.77677239,11.386974,5.028575517,8.869914713,1.1333333,75.5032456,13991.70958,72.08,0.320703525,33.37927655,7.338383695,0.773646436,67.84673223,73639.57918,15.96688595,27.73128534,30.57535506,30.20353688,20.46013692
Loop,32,87.30128578,43440,-87.625194,41.878881,73.83294781,79.12158706,82.01345185,70.12054027,,59.42029,5.932233532,311.548837,5.06756771,0.551959918,74.95056,79.03123,42.48409841,84.99298699,30.05536353,54.90902175,31.49398955,17.10892165,11.82148492,0.1559624,,8.531869047,0.5142857,36.39538432,25160.41833,72.06909347,0.501950935,34.05669989,7.329214001,0.384897436,13.92850926,119588.8709,9.907840779,87.44827498,88.59878769,86.09739947,49.19505645
Near South Side,33,79.85934054,27296,-87.620344,41.857196,79.28716968,71.46556318,81.94656263,78.40880823,,68.03279,7.710023201,69.806156,2.187224197,0.904483264,79.866989,81.010453,59.4509815,78.11507707,31.28497649,67.08982392,29.61813199,18.22477381,6.208981397,7.2506756,5.045472815,7.467567344,0.7919747,25.36661142,15279.25961,72.08,1.012516495,44.42662463,4.558603665,0.352413572,4.486513039,126579.6189,7.315782325,79.14437813,74.16002874,80.50719522,85.33374681
Armour Square,34,82.48000952,13847,-87.633976,41.842083,36.97839647,57.73932996,86.8154962,74.14028357,,66.66667,38.69603091,5.140615,8.497918877,0.35086949,68.119266,62.334802,38.69917539,62.75752168,21.80424818,41.54790956,32.06586436,46.96776437,19.25838638,8.6810938,1.990862951,12.85813111,1.2320329,87.9665766,5639.621839,72.08,0.206393525,38.96643963,8.775562679,0.771448545,87.38038676,44802.35955,24.00129087,37.76735006,27.23416005,64.11955872,45.08300476
Douglas,35,73.19364251,20292,-87.61868,41.835122,46.86027501,46.35450821,83.90114361,83.62289102,100,56.6474,30.43722978,21.372203,6.849548665,1.319978919,62.469438,63.243874,69.72853371,82.70159361,33.92945964,57.29308895,30.78947268,40.17949096,18.26466461,9.1180632,,9.60494281,2.742616,76.88229805,10477.80681,72.08,1.587723639,58.74349003,15.08257049,0.677522702,73.56967655,59243.69904,26.92790366,29.97696862,26.50661088,39.20878198,47.25957286
Oakland,36,71.96529488,6803,-87.603217,41.823754,46.22803851,57.0898511,82.71608179,83.27637584,0,57.40741,42.32340275,0.001984,6.887600523,0.726905436,66,66.850829,60.1578286,81.55133143,28.11244368,50.97881747,26.96870403,41.23760814,28.94030198,13.133054,,19.93128529,1.0025063,80.13491998,3429.063689,72.08,1.969359955,69.00141722,14.85282513,0.753026662,80.29554835,27513.99328,34.85953277,22.9209418,12.95231776,35.51994394,57.33015315
Fuller Park,37,66.81783276,2549,-87.632427,41.809082,27.02286729,33.1888335,77.10989968,76.00727429,0,62.5,50.33855999,3.972844,4.741432627,3.755599514,54.032258,61.417323,52.49940493,69.37697392,43.03444175,48.38934399,23.27019916,42.94092653,43.0424022,17.893661,,34.73967171,3.7037037,91.98227856,1142.54512,72.07290423,0.575473619,66.32882563,21.74616741,0.714429494,97.08986996,21121.81361,55.36696017,3.101129235,2.216463953,15.87471995,9.698019375
Grand Boulevard,38,72.52033455,24586,-87.61786,41.812947,47.32630748,61.37742918,84.95470014,85.50695869,81.818,59.9278,30.58673693,38.003459,8.846615388,2.596750834,67.892977,66.962843,56.97720319,77.00431801,23.47195521,53.32666386,38.91410742,28.77209824,21.52495133,14.412998,6.089484982,14.85555923,1.4053254,71.89996691,12144.14333,72.08,1.312664765,63.23543461,15.57360665,0.75855176,78.20454581,55584.3429,25.28375203,24.56162464,19.57283094,34.4831991,40.74540247
Kenwood,39,77.77574746,19126,-87.596186,41.808918,57.22171673,63.90830073,81.68503816,80.89254031,250,58.62069,23.57410179,3.452829,6.284348796,3.006539699,71.172414,69.868421,43.34029882,80.69171195,21.14864735,56.47026892,36.59230288,27.45105848,25.92399133,11.570602,,13.78375729,0.9626955,71.25289792,9989.373524,72.08,1.446044631,52.10573769,10.395491,0.648630672,53.15643087,63960.89958,24.53768318,45.28071525,38.75631736,59.30450874,51.04890446
Washington Park,40,72.47944347,12709,-87.617936,41.792356,31.62585836,67.42061469,68.04711443,80.68977416,100,51.65563,55.36296341,0.999335,7.355173237,1.828324714,58.126722,59.416446,50.49323841,75.81379508,26.1608509,33.04945735,28.76027456,48.09581203,30.0233339,29.167946,5.465362735,18.58528667,3.803681,83.95288707,5280.052466,72.08,2.293944448,62.17909517,17.55092902,0.633203538,92.94689446,35407.79483,44.85467358,6.556010828,3.974194298,17.31784382,18.52322043
Hyde Park,41,82.5661651,29459,-87.592305,41.794088,68.90719415,57.22239196,76.48923619,75.45385171,,60.68966,11.80363719,488.797153,4.483096051,0.955127686,78.767123,75.663717,62.26672183,79.15893896,30.98552474,70.49458893,34.20369905,10.38513303,12.46596658,1.6905599,3.116834176,10.87072635,0.7306889,51.98540213,14803.44792,72.08,0.942350803,49.09240767,7.250967386,0.555150175,37.39764044,70984.08666,20.87876234,55.82295537,57.08442755,58.71661005,47.77479931
Woodlawn,42,73.18639805,25285,-87.594924,41.778877,44.41714953,61.92746872,84.42742285,77.8862052,83.333,52.88889,34.66996787,26.563716,8.688776557,1.828735401,64.900087,64.871582,55.338736,69.57695093,22.76616107,44.74287355,22.60544388,31.10954807,20.22411746,16.748105,6.150239965,15.60970524,2.293578,84.49178167,11020.12237,71.66226078,1.98919189,50.93641012,15.61132428,0.748370743,82.83841555,39290.6669,32.4437623,11.86100946,10.16030859,18.11538572,22.61928451
South Shore,43,70.13917167,51919,-87.57279,41.761583,38.62080358,59.36498713,78.47362402,80.81654205,82.051,55.05051,44.09438689,31.276259,7.626322379,2.68567979,57.088704,59.097579,51.33096806,76.51790125,22.25957107,47.48697031,33.52447041,44.24209433,26.28946218,25.657028,7.949890733,15.34784071,4.0041068,85.26714562,24936.64431,61.44004353,2.771317679,46.55079552,14.66838768,0.767200301,82.25934611,42246.29948,29.79283305,10.87129711,9.924784121,15.90074371,18.48524945
Chatham,44,70.82605459,31804,-87.615965,41.740206,41.57928164,59.48661834,87.59665607,82.71417378,81.818,55.18293,37.94055377,8.037453,9.505411278,2.327007926,58.504801,58.102767,57.99631267,78.08490517,20.92056904,52.53394466,26.89466739,30.66322179,30.06053572,25.898349,,12.37538614,3.2919255,75.59894718,15043.75535,71.36309715,2.682393817,45.91154822,17.26527156,0.7225151,79.01603098,48254.63287,25.0029331,16.29018589,15.97816944,24.19196904,15.7661939
Avalon Park,45,72.20862598,9359,-87.586347,41.744197,51.37045272,47.94989475,84.38968044,83.66377369,0,55.6962,26.60071336,3.002341,9.288273373,2.185097607,63.265306,64.720195,49.94471106,78.45418185,31.27833918,58.09353186,22.23213722,31.32448236,27.32042717,12.466085,,17.76397925,3.2332564,78.22871012,4056.241918,72.08,1.443483582,47.44507116,14.36370086,0.809545614,79.73221835,50206.7053,17.30023683,21.95731557,26.45939197,18.26528046,20.67442186
South Chicago,46,71.64129315,27254,-87.551435,41.741243,33.06152257,49.09673031,69.50228595,85.11272406,81.818,53.20755,44.92843555,13.936009,12.50719263,2.529745869,55.687831,58.969466,54.59695175,83.87888923,14.70810653,35.3156537,33.26781299,36.93971084,31.51917817,28.012393,,9.754814211,3.0520646,81.93926093,11309.75423,81.68605176,2.502221007,37.76090922,15.47945629,0.743927645,86.19104019,45283.03446,29.02624231,9.396515606,11.91566474,10.21319845,10.06137047
Burnside,47,66.83058566,2514,-87.59647,41.728181,33.16210938,53.12703102,87.41763109,82.059468,,57.69231,48.99627653,2.975931,7.074308149,6.137995056,56.349206,55.384615,53.78923849,69.6705379,24.51896856,50.74555798,27.32962201,52.87154854,38.4911143,42.335116,,14.48026882,2.2727273,86.88161024,991.852907,72.08,0.881236741,46.80916952,18.6107973,0.771907377,89.54885502,46614.20307,23.53029028,15.02253538,15.00591684,32.01728355,3.058119458
Calumet Heights,48,73.22422874,13085,-87.57272,41.729673,53.65039762,61.76300514,84.56319621,86.40551236,,63.54167,23.43962071,65.944146,4.08985389,3.439005315,64.742268,66.334661,52.58578737,87.28125329,26.59141379,56.24666684,24.75290493,35.81162162,19.51887741,17.864434,,17.70105636,1.9120459,53.81199742,5527.973118,79.63344791,0.835262073,37.26010759,11.67117345,0.77508467,64.47989954,67995.56393,15.47643354,31.57076727,33.64276598,30.44017253,34.82746368
Roseland,49,70.45173342,38934,-87.623366,41.706588,38.1728125,58.24262608,89.04199428,79.80933722,87.5,56.05536,38.75413946,12.015162,10.27755551,2.541916101,55.859577,58.102767,49.6403254,70.38275087,28.15952645,32.09773693,27.1016895,49.55995606,32.27706012,24.742787,5.720182793,18.56575972,3.4741784,78.94515364,13903.80126,71.72051748,1.829107541,31.53697131,17.37433932,0.770321177,82.46082853,52911.75294,21.9653987,12.00333875,13.16561941,16.36567448,11.62666236
Pullman,50,74.8722617,6866,-87.598252,41.706131,51.45336063,55.65823678,85.50481204,67.187839,0,59.18367,30.66355506,0.001514,4.743715274,1.49768613,61.661342,61.538462,65.59086972,75.51522608,21.49926929,59.12525085,30.32600628,34.64082033,12.57344122,22.022022,15.02746262,7.565347177,1.4619883,47.74778125,3285.503747,72.08,0.74868559,45.24019995,13.27488905,0.794458403,77.10109778,57024.66681,20.90872267,26.93033411,23.52048661,34.53245111,38.43625419
South Deering,51,72.04272378,14125,-87.570058,41.690639,33.13353989,51.24890683,78.42878637,89.99196633,,55.43478,45.03642678,0.057625,8.929357207,2.216337756,55.251799,58.469945,56.5339885,75.05359867,19.27944721,47.0811698,31.63467384,40.05258443,27.07645343,22.674051,,25.00527024,3.0927835,80.72617205,5517.984748,74.36419157,1.062767249,25.67298365,12.38769714,0.780262742,84.63567216,42498.99208,30.37116228,12.4025159,9.770049744,23.37916011,23.54953019
East Side,52,77.64784485,21787,-87.534907,41.707306,46.77588885,44.58674123,78.86729676,83.33036222,0,48.93617,30.328857,3.932877,13.07606407,1.65279301,60.033167,62.759171,43.0110123,62.5775154,15.35578023,47.00554114,28.80667424,47.56233486,28.39967504,18.439378,,8.939501909,1.7557252,72.0517484,7435.187879,85.63361452,0.40708258,19.23465942,7.899055896,0.785395107,80.60069504,60566.82339,16.53470031,20.65284378,20.08296563,27.44637225,19.85703157
West Pullman,53,69.9737397,25940,-87.635745,41.67382,38.24474694,59.25186133,87.90489954,87.45597436,66.667,58.53659,41.29389797,0.002869,9.965523428,1.932312804,55.196629,59.054054,59.17125576,74.77569141,29.24971518,39.35034944,37.79892118,41.63658026,22.50325679,30.846458,,9.933568321,4.507405,78.71695123,9435.05765,70.12155215,2.241158882,39.44438095,19.02613933,0.774316695,81.02515446,49571.29843,23.54239912,12.99815191,15.86093508,10.33977819,18.06938322
